id;from;to;voltage;reactance;resistance;circuits;pmax;;Resistance per phase [ohm/km];Reactance per phase [ohm/km];Length [kM]
0;358;71;220;93.8808;17.60264;4;490;2000;0.01875;0.1;234.702
1;71;201;220;103.1988;19.34976;4;490;2000;0.01875;0.1;257.997
2;223;169;220;211.354;39.62888;4;490;2000;0.01875;0.1;528.385
3;13;206;220;176.3352;33.06284;4;490;2000;0.01875;0.1;440.838
4;21;380;220;163.9316;30.73716;4;490;2000;0.01875;0.1;409.829
5;305;62;380;69.0759;6.07032;3;1700;4000;0.00966667;0.11;209.321
6;455;456;220;126.7556;23.76668;4;490;2000;0.01875;0.1;316.889
7;358;457;380;8.38712;0.73705;1;1700;1700;0.029;0.33;25.4155
8;89;155;380;17.3914;1.52834;1;1700;1700;0.029;0.33;52.7013
9;155;458;380;15.9485;1.40153;1;1700;1700;0.029;0.33;48.3287
10;459;32;380;8.20562;0.7211;2;1700;3400;0.0145;0.165;24.8655
11;89;236;380;9.86206;0.866666;2;1700;3400;0.0145;0.165;29.885
12;16;459;380;25.6195;2.25141;1;1700;1700;0.029;0.33;77.6348
13;16;235;380;16.652;1.46336;1;1700;1700;0.029;0.33;50.4607
14;235;460;380;11.4401;1.00535;1;1700;1700;0.029;0.33;34.6671
15;460;112;380;10.0427;0.88254;1;1700;1700;0.029;0.33;30.4324
16;223;462;380;0.503936;0.0442854;2;1700;3400;0.0145;0.165;1.52708
17;223;475;380;3.45282;0.30343;1;1700;1700;0.029;0.33;10.4631
18;475;455;380;8.12368;0.713899;1;1700;1700;0.029;0.33;24.6172
19;455;476;380;11.6631;1.02494;1;1700;1700;0.029;0.33;35.3428
20;476;461;380;10.9675;0.963812;1;1700;1700;0.029;0.33;33.2349
21;462;13;380;2.74282;0.241036;2;1700;3400;0.0145;0.165;8.3116
22;13;227;380;11.81368;1.03817;2;1700;3400;0.0145;0.165;35.799
23;21;28;380;14.5918;1.28231;1;1700;1700;0.029;0.33;44.2176
24;28;2;380;14.558;1.27934;1;1700;1700;0.029;0.33;44.1153
