node;longitude;latitude;node_name;country
0;9,52257597;52,36040906;Hannover/West;DE
1;9,389745096;52,02631307;UW Grohnde 380 kV / 110 kV;DE
2;10,36627494;52,28464675;Wahle;DE
3;9,91717972;52,27816861;Algermissen;DE
4;10,41499234;53,41260688;Krümmel;DE
5;12,9416466;52,5621144;Wustermark;DE
6;13,20610299;52,65713628;Hennigsdorf;DE
7;11,37042625;48,29149223;Umspannwerk Oberbachern;DE
8;10,76104038;52,36772938;Umspannwerk Hattorf;DE
9;13,49476337;52,58976444;Umspannwerk Malchow;DE
10;11,8132329;48,22126647;Umspannwerk Neufinsing;DE
11;9,98460982;53,74112878;Umspannwerk Hamburg-Nord;DE
12;9,988536609;53,76627767;Hamburg Nord;DE
13;9,344760988;53,92183706;Umspannwerk Wilster;DE
14;9,776544839;53,69063526;Kummerfeld;DE
15;10,37877059;53,21979277;Lüneburg;DE
16;9,501789668;53,54281437;Dollern;DE
17;9,746150816;50,91683995;Mecklar;DE
18;11,12285456;50,99890907;Umspannwerk Vieselbach;DE
19;8,122642303;53,56051605;Umspannwerk Maade;DE
20;9,113210075;52,54385332;Umspannwerk Kraftwerk Robert Frank;DE
21;11,63891276;52,26873468;Umspannwerk Wolmirstedt;DE
22;11,72735342;52,56894699;Stendal/West;DE
23;12,18698482;53,81577517;Güstrow;DE
24;13,68347697;54,13909064;Umspannwerk Lubmin;DE
25;13,50615345;52,47382231;Umspannwerk Wuhlheide;DE
26;13,52419873;52,53563427;Umspannwerk Marzahn;DE
27;13,45643069;52,52145175;Umspannwerk Friedrichshain;DE
28;10,99933301;52,20014197;Umspannwerk Helmstedt;DE
29;8,313340166;49,00904346;Karlsruhe-Daxlanden;DE
30;8,445542489;48,98608818;Umspannwerk Oberwald;DE
31;8,641584063;48,89005248;220 kV-Umspannwerk Birkenfeld;DE
32;8,563743997;53,03172158;Ganderkesee;DE
33;8,51888181;53,20263528;Umspannwerk Farge;DE
34;8,120769098;48,70483543;Bühl;DE
35;8,77244296;49,97466867;Umspannwerk Urberach;DE
36;8,388556368;49,98230508;Umspannstation Bischofsheim;DE
37;12,26217349;51,74102028;Umspannwerk Marke;DE
38;13,15709049;51,82845166;Umspannwerk Schönewalde;DE
39;11,89426614;51,40570314;Umspannwerk Lauchstädt;DE
40;8,702218449;51,73635258;Umspannwerk Elsen;DE
