hour,fuel,RD_up,RD_down,RD_net
7705,NaturalGas,6599.339892450817,0.0,6599.339892450817
7705,Biomass,0.0,-1261.488222,-1261.488222
7705,HardCoal,7541.1305130095825,0.0,7541.1305130095825
7705,Lignite,661.4911933350862,-6881.980857690169,-6220.489664355083
7705,Oil(light),1171.6735405389015,0.0,1171.6735405389015
7705,Waste,0.0,-67.13,-67.13
7705,OtherFuels,14.840000000000002,0.0,14.840000000000002
7705,Nuclear,0.0,-2865.6091554988107,-2865.6091554988107
7705,Oil(heavy),0.0,-0.0,0.0
7705,WindOnshore,0.0,-8919.830062929961,-8919.830062929961
7705,WindOffshore,0.0,-729.491868450186,-729.491868450186
7705,SolarPV,0.0,0.0,0.0
7705,RoR,0.0,-12.508212195919999,-12.508212195919999
7705,Geothermal,0.0,-0.0,0.0
7705,Hydro,1020.2098266617365,0.0,1020.2098266617365
7706,NaturalGas,6454.791075727983,0.0,6454.791075727983
7706,Biomass,0.0,-1283.351769,-1283.351769
7706,HardCoal,7576.518475405106,0.0,7576.518475405106
7706,Lignite,579.6277364360217,-6644.538365089951,-6064.91062865393
7706,Oil(light),1114.8802759050127,0.0,1114.8802759050127
7706,Waste,0.0,-67.13,-67.13
7706,OtherFuels,14.840000000000002,0.0,14.840000000000002
7706,Nuclear,0.0,-2885.829840555647,-2885.829840555647
7706,Oil(heavy),0.0,-0.0,0.0
7706,WindOnshore,0.0,-9219.499986256318,-9219.499986256318
7706,WindOffshore,0.0,-1031.793783830881,-1031.793783830881
7706,SolarPV,0.0,0.0,0.0
7706,RoR,0.0,-12.508212195919999,-12.508212195919999
7706,Geothermal,0.0,-0.0,0.0
7706,Hydro,1146.1286217382337,0.0,1146.1286217382337
7707,NaturalGas,6001.835151390841,0.0,6001.835151390841
7707,Biomass,0.0,-1292.851206,-1292.851206
7707,HardCoal,7436.6320541221885,0.0,7436.6320541221885
7707,Lignite,722.123256507727,-5785.6976446982035,-5063.574388190476
7707,Oil(light),932.3823079839534,0.0,932.3823079839534
7707,Waste,0.0,-67.13,-67.13
7707,OtherFuels,14.840000000000002,0.0,14.840000000000002
7707,Nuclear,0.0,-2889.928900368541,-2889.928900368541
7707,Oil(heavy),0.0,-0.0,0.0
7707,WindOnshore,0.0,-9359.659595740835,-9359.659595740835
7707,WindOffshore,0.0,-1125.1529893984914,-1125.1529893984914
7707,SolarPV,0.0,0.0,0.0
7707,RoR,0.0,-11.72806345668,-11.72806345668
7707,Geothermal,0.0,-0.06820000000000001,-0.06820000000000001
7707,Hydro,2146.012986432549,0.0,2146.012986432549
7708,NaturalGas,6474.276799450853,0.0,6474.276799450853
7708,Biomass,0.0,-1283.351769,-1283.351769
7708,HardCoal,7573.160619074144,0.0,7573.160619074144
7708,Lignite,607.3450991988432,-6411.258684203307,-5803.913585004464
7708,Oil(light),1039.0879431300689,0.0,1039.0879431300689
7708,Waste,0.0,-67.13,-67.13
7708,OtherFuels,14.840000000000002,0.0,14.840000000000002
7708,Nuclear,0.0,-2887.2150498546703,-2887.2150498546703
7708,Oil(heavy),0.0,-0.0,0.0
7708,WindOnshore,0.0,-9094.779346010651,-9094.779346010651
7708,WindOffshore,0.0,-1097.7998504766365,-1097.7998504766365
7708,SolarPV,0.0,0.0,0.0
7708,RoR,0.0,-11.36540975178,-11.36540975178
