hour,Total_RD_Cost
7681,7815.730745478591
7682,9505.026762927624
7683,13782.03373303388
7684,12008.282314653003
7685,25392.948593927857
7686,58900.17419069313
7687,170034.693212568
7688,216666.28647886368
7689,203483.2933838324
7690,202892.02337608626
7691,230471.95765138385
7692,189084.08216004627
7693,243252.53022637116
7694,270220.05351297534
7695,225355.28259776908
7696,277684.9445846827
7697,272878.4514410084
7698,282791.9197917318
7699,282510.1684355598
7700,255591.81770597206
7701,226730.1047810869
7702,214491.1204910995
7703,229886.57274744674
7704,206391.78647028373
7705,290093.3433635825
7706,284205.68254083215
7707,273565.7475728151
7708,283782.18629189563
7709,301754.19639848615
7710,356874.22514332196
7711,431127.68528191553
7712,438865.499988528
7713,405168.44813843514
7714,299836.93389514554
7715,257843.71851595026
7716,272748.88980929414
7717,208257.42881178143
7718,224700.10795358862
7719,254079.98308659927
7720,195297.34430998727
7721,198577.69566163226
7722,206743.77276658238
7723,200621.26377809877
7724,257443.74628080855
7725,285301.799900901
7726,258347.19875329782
7727,245497.44539210288
7728,195436.12362876767
7729,220699.38631368103
7730,189893.67637894454
7731,178834.32027506686
7732,177997.38064270825
7733,230993.3006187549
7734,330104.77564409474
7735,393181.2303915353
7736,442667.285892838
7737,436883.94536854944
7738,413957.40719238046
7739,399830.34756623127
7740,419758.7612746135
7741,467564.26106864214
7742,435647.5174824375
7743,437812.834534055
7744,449172.1552696525
7745,461277.0678474373
7746,391691.11595847417
7747,294986.1969019288
7748,259942.13391438712
7749,191562.89620108312
7750,144277.9561604357
7751,93842.55049735274
7752,66248.71284144012
7753,58573.47515516204
7754,44824.95789035823
7755,51609.81457076223
7756,56914.34093894307
7757,56956.54655299106
7758,98904.84548119167
7759,190827.0354100978
7760,292428.1238898192
7761,269322.3162528534
7762,247680.963739108
7763,224776.21866424385
7764,268031.6161022039
7765,194249.54360793304
7766,206602.6250122598
7767,220794.85620125182
7768,273308.63307727955
7769,206607.10254311713
7770,195572.9431373641
7771,146323.34772188132
7772,160872.88603343343
7773,116387.93982585249
7774,89420.3893879349
7775,72504.42383098017
7776,17418.97529624781
7777,6329.541385674625
7778,3826.406432214417
7779,7494.7514626703905
7780,4329.689009667113
7781,4706.163592769579
7782,4021.5757172020585
7783,5731.574229943173
7784,5629.208830570314
7785,26090.740267042
7786,23542.53086552655
7787,14034.995296071264
7788,16780.99280743877
7789,9667.202309667065
7790,14270.402661018099
7791,10881.002555076057
7792,37663.774668304344
7793,39586.174215478124
7794,44093.008022480055
7795,32071.21616776371
7796,34913.52819910212
7797,17584.205926640625
7798,6440.186991767737
7799,4583.782892156263
7800,3697.7227341841526
7801,1950.1053049173063
7802,3440.3291027827586
7803,6224.916208859737
7804,2683.303513184428
7805,3409.2954050652193
7806,2644.4015260418983
7807,2681.070609149942
7808,9384.621949004033
7809,25660.284225262636
7810,32463.278745710264
7811,40181.260045539064
7812,52699.82632033612
7813,49268.71419302591
7814,51631.7214357203
7815,45723.58841934552
7816,58105.95968713254
7817,53566.890578633545
7818,61771.42871824147
7819,75995.85382490885
7820,49508.16068840301
7821,39309.70531160429
7822,30344.42130066212
7823,20029.47376777613
7824,12573.728889442653
7825,41308.00745132936
7826,21157.884485352253
7827,21326.378284474544
7828,31898.30155070824
7829,33165.498161393676
7830,71463.6159374001
7831,153094.92779252084
7832,199162.13288611145
7833,231131.9486464794
7834,198776.46310853653
7835,138551.79620449356
7836,156745.25174254086
7837,164188.50356276697
7838,206150.28671795246
7839,152404.81306239107
7840,196154.21284796565
7841,250313.59385355335
7842,280621.84843366913
7843,236879.89619926235
7844,276507.7915028794
7845,250603.8046034645
7846,208038.45513327984
7847,140615.3739241766
7848,75251.01850702206
7849,59829.916791571675
7850,55879.283936654705
7851,61878.62212078213
7852,73604.36905361316
7853,80435.4322995702
7854,131065.53479937633
7855,304885.1207938863
7856,354527.17325721774
7857,307185.224439392
7858,279874.30085936515
7859,309748.9766737693
7860,268695.1131098912
7861,285294.11538559524
7862,260085.31014153664
7863,368617.0539348151
7864,361789.2522999785
7865,473687.1096996362
7866,481194.14324636274
7867,403475.52282947744
7868,359517.3111540309
7869,278710.556250407
7870,187320.63720151226
7871,162293.56566256905
7872,92964.49547075419
7873,139819.94642455893
7874,117839.82689338012
7875,100636.12201254853
7876,99272.19037110487
7877,103799.10896283686
7878,141892.75008548095
7879,280696.15243866754
7880,309485.0767674419
7881,284136.58351845306
7882,260109.83000346855
7883,245499.31751506572
7884,237867.00105080457
7885,263807.1470899146
7886,302540.45591141266
7887,284855.80876237445
7888,315476.52391660126
7889,298023.11230022815
7890,301925.19287388754
7891,242257.8978315799
7892,243573.8970276631
7893,266959.75089434825
7894,182955.71575724307
7895,151568.61543223276
7896,89541.7571496508
7897,105927.08446304254
7898,96892.87210134328
7899,91200.05310941435
7900,95888.89903769249
7901,118051.93518442877
7902,149469.1658743751
7903,283678.3779716639
7904,298566.5728161434
7905,284124.88096202153
7906,254635.25162476575
