hour,fuel,RD_up,RD_down,RD_net
7681,NaturalGas,109.52568077466412,0.0,109.52568077466412
7681,Biomass,0.0,0.0,0.0
7681,HardCoal,19.282146543853187,0.0,19.282146543853187
7681,Lignite,0.0,0.0,0.0
7681,Oil(light),0.0,0.0,0.0
7681,Waste,0.0,0.0,0.0
7681,OtherFuels,0.0,0.0,0.0
7681,Nuclear,0.0,-13.584987617250022,-13.584987617250022
7681,Oil(heavy),0.0,-0.0,0.0
7681,WindOnshore,0.0,0.0,0.0
7681,WindOffshore,0.0,-0.0,0.0
7681,SolarPV,0.0,0.0,0.0
7681,RoR,0.0,0.0,0.0
7681,Geothermal,0.0,-0.0,0.0
7681,Hydro,0.0,0.0,0.0
7682,NaturalGas,103.84055045083268,0.0,103.84055045083268
7682,Biomass,0.0,0.0,0.0
7682,HardCoal,60.84370490510971,-52.57976684482601,8.2639380602837
7682,Lignite,0.0,0.0,0.0
7682,Oil(light),0.0,0.0,0.0
7682,Waste,0.0,0.0,0.0
7682,OtherFuels,0.0,0.0,0.0
7682,Nuclear,0.0,-29.99244789640443,-29.99244789640443
7682,Oil(heavy),0.0,-0.0,0.0
7682,WindOnshore,0.0,0.0,0.0
7682,WindOffshore,0.0,-0.0,0.0
7682,SolarPV,0.0,0.0,0.0
7682,RoR,0.0,0.0,0.0
7682,Geothermal,0.0,-0.0,0.0
7682,Hydro,0.0,0.0,0.0
7683,NaturalGas,101.30924200803665,0.0,101.30924200803665
7683,Biomass,0.0,0.0,0.0
7683,HardCoal,191.69202903048898,-70.08469264985973,121.60733638062925
7683,Lignite,0.0,0.0,0.0
7683,Oil(light),0.0,0.0,0.0
7683,Waste,0.0,0.0,0.0
7683,OtherFuels,0.0,0.0,0.0
7683,Nuclear,0.0,-19.846861181989084,-19.846861181989084
7683,Oil(heavy),0.0,-0.0,0.0
7683,WindOnshore,0.0,0.0,0.0
7683,WindOffshore,0.0,-0.0,0.0
7683,SolarPV,0.0,0.0,0.0
7683,RoR,0.0,0.0,0.0
7683,Geothermal,0.0,-0.0,0.0
7683,Hydro,0.0,0.0,0.0
7684,NaturalGas,107.1854764649463,0.0,107.1854764649463
7684,Biomass,0.0,0.0,0.0
7684,HardCoal,122.57815755785118,0.0,122.57815755785118
7684,Lignite,0.0,0.0,0.0
7684,Oil(light),0.0,0.0,0.0
7684,Waste,0.0,0.0,0.0
7684,OtherFuels,0.0,0.0,0.0
7684,Nuclear,0.0,-30.53232063957978,-30.53232063957978
7684,Oil(heavy),0.0,-0.0,0.0
7684,WindOnshore,0.0,0.0,0.0
7684,WindOffshore,0.0,-0.0,0.0
7684,SolarPV,0.0,0.0,0.0
7684,RoR,0.0,0.0,0.0
7684,Geothermal,0.0,-0.0,0.0
7684,Hydro,0.0,0.0,0.0
7685,NaturalGas,110.58500000000001,0.0,110.58500000000001
7685,Biomass,0.0,0.0,0.0
7685,HardCoal,114.13226527511189,0.0,114.13226527511189
7685,Lignite,0.0,0.0,0.0
7685,Oil(light),0.0,0.0,0.0
7685,Waste,0.0,0.0,0.0
7685,OtherFuels,0.0,0.0,0.0
7685,Nuclear,0.0,-12.13128398623553,-12.13128398623553
7685,Oil(heavy),0.0,-0.0,0.0
7685,WindOnshore,0.0,0.0,0.0
7685,WindOffshore,0.0,-0.0,0.0
7685,SolarPV,0.0,0.0,0.0
7685,RoR,0.0,0.0,0.0
7685,Geothermal,0.0,-0.0,0.0
7685,Hydro,0.0,0.0,0.0
7686,NaturalGas,110.58500000000001,0.0,110.58500000000001
7686,Biomass,0.0,0.0,0.0
