time,OriginalLoad,LoadTSOM,LoadDSOM
7681,55356.25567891881,55760.56786041455,55471.47790970108
7682,53219.98302219983,53821.085530209035,53302.09453061454
7683,52536.25032210124,53157.41133433647,52739.32061720656
7684,53093.63792237455,53694.740430383754,53292.86902338301
7685,55256.47944,55646.43458353122,55483.441567835005
7686,58869.601244348,59072.12311598593,58960.93602503101
7687,69059.71732905973,68760.16686033191,69027.6395775179
7688,76316.76964790063,76466.12647426414,76289.66148970768
7689,78535.57516025097,77555.56068254885,78487.398246643
7690,79198.95670759687,78337.66572985824,79125.6237616307
7691,80413.50596124052,79870.66706655464,80199.41288968481
7692,81949.1475989829,81510.9901436633,81845.84252962815
7693,81611.09439938917,81091.16497320766,81381.6126327499
7694,81319.68359527872,80254.1572137396,81282.91526342675
7695,79854.14028014586,79258.84413391481,79537.53143812658
7696,79813.72085111767,78993.92331368515,79925.84809989318
7697,79657.13215342867,78935.8090776203,79593.97397027517
7698,82557.40953977036,81597.95575785593,82467.7551973619
7699,81807.25500096372,80921.5140029031,81727.4678113272
7700,79536.15876860847,79791.60803064113,79472.35598893433
7701,75400.6989454007,76520.5680494299,75477.35192246914
7702,71312.7245,72399.93075425201,71369.60673018817
7703,68119.33934059669,69618.45869944996,68222.98382630237
7704,63005.06086202024,64762.824452912784,63115.17722205626
7705,58195.19677180481,59259.78540309756,58297.03640095475
7706,56236.99390128902,57342.71269799572,56250.66780367926
7707,55380.280259239444,56829.87611611802,55655.9867006329
7708,56001.2633719962,57156.99107037099,56173.002308238174
7709,57849.513977310664,58897.335165029464,57990.7799535764
7710,61993.7372659812,62949.880490031006,62167.36078400847
7711,71376.60251072755,71205.91200881256,71416.7747008344
7712,78376.16136863313,77538.47605025116,78242.51794014772
7713,80444.03214088807,78819.19284863868,80364.96116288092
7714,80408.13503836746,79255.28093883643,80215.64024283364
7715,81625.79329024524,80673.12942167062,81361.37170605853
7716,83145.88873887534,82141.25923996927,83269.06944368147
7717,81931.62146613676,81319.62429560431,81679.20439128649
7718,80930.75615999999,79788.27252589418,80984.65652253071
7719,78934.11388720936,78436.71960831949,78763.2880427859
