hour,fuel,RD
7681,NaturalGas,92.50059529828994
7681,Biomass,0.0
7681,HardCoal,0.0
7681,Lignite,0.0
7681,Oil(light),0.0
7681,Waste,0.0
7681,OtherFuels,0.0
7681,Nuclear,0.0
7681,Oil(heavy),0.0
7681,WindOnshore,0.0
7681,WindOffshore,0.0
7681,SolarPV,0.0
7681,RoR,0.0
7681,Geothermal,0.0
7681,Hydro,0.0
7681,LostLoad,0.0
7682,NaturalGas,86.81546497445848
7682,Biomass,0.0
7682,HardCoal,0.0
7682,Lignite,0.0
7682,Oil(light),0.0
7682,Waste,0.0
7682,OtherFuels,0.0
7682,Nuclear,0.0
7682,Oil(heavy),0.0
7682,WindOnshore,0.0
7682,WindOffshore,0.0
7682,SolarPV,0.0
7682,RoR,0.0
7682,Geothermal,0.0
7682,Hydro,0.0
7682,LostLoad,0.0
7683,NaturalGas,84.28415653166422
7683,Biomass,0.0
7683,HardCoal,43.9161112259604
7683,Lignite,0.0
7683,Oil(light),0.0
7683,Waste,0.0
7683,OtherFuels,0.0
7683,Nuclear,0.0
7683,Oil(heavy),0.0
7683,WindOnshore,0.0
7683,WindOffshore,0.0
7683,SolarPV,0.0
7683,RoR,0.0
7683,Geothermal,0.0
7683,Hydro,0.0
7683,LostLoad,0.0
7684,NaturalGas,90.1603909885721
7684,Biomass,0.0
7684,HardCoal,0.0
7684,Lignite,0.0
7684,Oil(light),0.0
7684,Waste,0.0
7684,OtherFuels,0.0
7684,Nuclear,0.0
7684,Oil(heavy),0.0
7684,WindOnshore,0.0
7684,WindOffshore,0.0
7684,SolarPV,0.0
7684,RoR,0.0
7684,Geothermal,0.0
7684,Hydro,0.0
7684,LostLoad,0.0
7685,NaturalGas,107.93606106987968
7685,Biomass,0.0
7685,HardCoal,0.0
7685,Lignite,0.0
7685,Oil(light),0.0
7685,Waste,0.0
7685,OtherFuels,0.0
7685,Nuclear,0.0
7685,Oil(heavy),0.0
7685,WindOnshore,0.0
7685,WindOffshore,0.0
7685,SolarPV,0.0
7685,RoR,0.0
7685,Geothermal,0.0
7685,Hydro,0.0
7685,LostLoad,0.0
7686,NaturalGas,110.58500000000001
