hour,fuel,RD_tot
7681,NaturalGas,101.01313803647588
7681,Biomass,0.0
7681,HardCoal,0.0
7681,Lignite,0.0
7681,Oil(light),0.0
7681,Waste,0.0
7681,OtherFuels,0.0
7681,Nuclear,0.0
7681,Oil(heavy),0.0
7681,WindOnshore,0.0
7681,WindOffshore,0.0
7681,SolarPV,0.0
7681,RoR,0.0
7681,Geothermal,0.0
7681,Hydro,0.0
7681,LostLoad,0.0
7681,LoadShift,-452.27832078829624
7682,NaturalGas,95.32800771264496
7682,Biomass,0.0
7682,HardCoal,31.186243927961435
7682,Lignite,0.0
7682,Oil(light),0.0
7682,Waste,0.0
7682,OtherFuels,0.0
7682,Nuclear,0.0
7682,Oil(heavy),0.0
7682,WindOnshore,0.0
7682,WindOffshore,0.0
7682,SolarPV,0.0
7682,RoR,0.0
7682,Geothermal,0.0
7682,Hydro,0.0
7682,LostLoad,0.0
7682,LoadShift,-500.579902831618
7683,NaturalGas,92.7966992698507
7683,Biomass,0.0
7683,HardCoal,110.32527436677076
7683,Lignite,0.0
7683,Oil(light),0.0
7683,Waste,0.0
7683,OtherFuels,0.0
7683,Nuclear,0.0
7683,Oil(heavy),0.0
7683,WindOnshore,0.0
7683,WindOffshore,0.0
7683,SolarPV,0.0
7683,RoR,0.0
7683,Geothermal,0.0
7683,Hydro,0.0
7683,LostLoad,0.0
7683,LoadShift,-536.3774723645209
7684,NaturalGas,98.67293372675859
7684,Biomass,0.0
7684,HardCoal,51.30117352201691
7684,Lignite,0.0
7684,Oil(light),0.0
7684,Waste,0.0
7684,OtherFuels,0.0
7684,Nuclear,0.0
7684,Oil(heavy),0.0
7684,WindOnshore,0.0
7684,WindOffshore,0.0
7684,SolarPV,0.0
7684,RoR,0.0
7684,Geothermal,0.0
7684,Hydro,0.0
7684,LostLoad,0.0
7684,LoadShift,-544.5946526682886
7685,NaturalGas,110.58500000000001
7685,Biomass,0.0
7685,HardCoal,12.441936726212077
7685,Lignite,0.0
7685,Oil(light),0.0
7685,Waste,0.0
7685,OtherFuels,0.0
7685,Nuclear,0.0
7685,Oil(heavy),0.0
7685,WindOnshore,0.0
7685,WindOffshore,0.0
7685,SolarPV,0.0
7685,RoR,0.0
7685,Geothermal,0.0
7685,Hydro,0.0
7685,LostLoad,5.863603808066387
7685,LoadShift,-571.2930831378295
7686,NaturalGas,110.58500000000001
7686,Biomass,0.0
7686,HardCoal,0.0
7686,Lignite,0.0
7686,Oil(light),0.0
7686,Waste,0.0
7686,OtherFuels,0.0
7686,Nuclear,0.0
7686,Oil(heavy),0.0
7686,WindOnshore,0.0
7686,WindOffshore,0.0
7686,SolarPV,0.0
7686,RoR,0.0
7686,Geothermal,0.0
7686,Hydro,0.0
7686,LostLoad,35.956061883842594
7686,LoadShift,-484.17118477175325
7687,NaturalGas,746.2208868128324
7687,Biomass,0.0
7687,HardCoal,0.0
7687,Lignite,0.0
7687,Oil(light),0.0
7687,Waste,0.0
7687,OtherFuels,0.0
7687,Nuclear,0.0
7687,Oil(heavy),0.0
7687,WindOnshore,0.0
7687,WindOffshore,0.0
7687,SolarPV,0.0
7687,RoR,0.0
7687,Geothermal,0.0
7687,Hydro,0.0
7687,LostLoad,131.17543645451235
7687,LoadShift,-427.84430426340305
7688,NaturalGas,1225.6655733094017
7688,Biomass,0.0
7688,HardCoal,0.0
7688,Lignite,0.0
7688,Oil(light),0.0
7688,Waste,0.0
7688,OtherFuels,0.0
7688,Nuclear,0.0
7688,Oil(heavy),0.0
7688,WindOnshore,0.0
7688,WindOffshore,0.0
7688,SolarPV,0.0
7688,RoR,0.0
7688,Geothermal,0.0
7688,Hydro,0.0
7688,LostLoad,164.43998529425573
7688,LoadShift,-426.98036030533075
7689,NaturalGas,1372.7872068782185
7689,Biomass,0.0
7689,HardCoal,0.0
7689,Lignite,0.0
7689,Oil(light),0.0
7689,Waste,0.0
7689,OtherFuels,0.0
7689,Nuclear,0.0
7689,Oil(heavy),0.0
7689,WindOnshore,0.0
7689,WindOffshore,0.0
7689,SolarPV,0.0
7689,RoR,0.0
7689,Geothermal,0.0
7689,Hydro,98.8
7689,LostLoad,136.93774103919588
7689,LoadShift,-850.8442109076557
7690,NaturalGas,1174.9225614978786
7690,Biomass,0.0
7690,HardCoal,0.0
7690,Lignite,0.0
7690,Oil(light),0.0
7690,Waste,0.0
7690,OtherFuels,0.0
7690,Nuclear,0.0
7690,Oil(heavy),0.0
7690,WindOnshore,0.0
7690,WindOffshore,0.0
7690,SolarPV,0.0
7690,RoR,0.0
7690,Geothermal,0.0
7690,Hydro,0.0
7690,LostLoad,140.01938663235512
7690,LoadShift,-897.4039621518376
7691,NaturalGas,1483.250448935453
7691,Biomass,0.0
7691,HardCoal,0.0
7691,Lignite,0.0
7691,Oil(light),0.0
7691,Waste,0.0
7691,OtherFuels,0.0
7691,Nuclear,0.0
7691,Oil(heavy),0.0
7691,WindOnshore,0.0
7691,WindOffshore,0.0
7691,SolarPV,0.0
7691,RoR,0.0
7691,Geothermal,0.0
7691,Hydro,0.0
7691,LostLoad,160.14677104271334
7691,LoadShift,-734.6491447146728
7692,NaturalGas,1597.1175749308984
7692,Biomass,0.0
7692,HardCoal,0.0
7692,Lignite,0.0
7692,Oil(light),0.0
7692,Waste,0.0
7692,OtherFuels,0.0
7692,Nuclear,0.0
7692,Oil(heavy),0.0
7692,WindOnshore,0.0
7692,WindOffshore,0.0
7692,SolarPV,0.0
7692,RoR,0.0
7692,Geothermal,0.0
7692,Hydro,0.0
7692,LostLoad,142.7075459033924
7692,LoadShift,-827.7177266062857
7693,NaturalGas,1337.3653410921668
7693,Biomass,0.0
7693,HardCoal,0.0
7693,Lignite,0.0
7693,Oil(light),0.0
7693,Waste,0.0
7693,OtherFuels,0.0
7693,Nuclear,0.0
7693,Oil(heavy),0.0
7693,WindOnshore,0.0
7693,WindOffshore,0.0
7693,SolarPV,0.0
7693,RoR,0.0
7693,Geothermal,0.0
7693,Hydro,0.0
7693,LostLoad,174.48346111471346
7693,LoadShift,-799.2830274864328
7694,NaturalGas,1683.014206581255
7694,Biomass,0.0
7694,HardCoal,0.0
7694,Lignite,0.0
7694,Oil(light),0.0
7694,Waste,0.0
7694,OtherFuels,0.0
7694,Nuclear,0.0
7694,Oil(heavy),0.0
7694,WindOnshore,0.0
7694,WindOffshore,0.0
7694,SolarPV,0.0
7694,RoR,0.0
7694,Geothermal,0.0
7694,Hydro,0.0
7694,LostLoad,188.19168200654303
7694,LoadShift,-902.3091188008897
7695,NaturalGas,1461.6963047815277
7695,Biomass,0.0
7695,HardCoal,0.0
7695,Lignite,0.0
7695,Oil(light),0.0
7695,Waste,0.0
7695,OtherFuels,0.0
7695,Nuclear,0.0
7695,Oil(heavy),0.0
7695,WindOnshore,0.0
7695,WindOffshore,0.0
7695,SolarPV,0.0
7695,RoR,0.0
7695,Geothermal,0.0
7695,Hydro,0.0
7695,LostLoad,177.64628833505824
7695,LoadShift,-793.1810883271962
7696,NaturalGas,2019.7823204054691
7696,Biomass,0.0
7696,HardCoal,0.0
7696,Lignite,0.0
7696,Oil(light),0.0
7696,Waste,0.0
7696,OtherFuels,0.0
7696,Nuclear,0.0
7696,Oil(heavy),0.0
7696,WindOnshore,0.0
7696,WindOffshore,0.0
7696,SolarPV,0.0
7696,RoR,0.0
7696,Geothermal,0.0
7696,Hydro,2.4489457387346647
7696,LostLoad,193.11110334604422
7696,LoadShift,-1021.9987652072977
7697,NaturalGas,1736.1870830776486
7697,Biomass,0.0
7697,HardCoal,0.0
7697,Lignite,0.0
7697,Oil(light),0.0
7697,Waste,0.0
7697,OtherFuels,0.0
7697,Nuclear,0.0
7697,Oil(heavy),0.0
7697,WindOnshore,0.0
7697,WindOffshore,0.0
7697,SolarPV,0.0
7697,RoR,0.0
7697,Geothermal,0.0
7697,Hydro,0.0
7697,LostLoad,195.62860444856688
7697,LoadShift,-416.04775188905165
7698,NaturalGas,1722.4445646662834
7698,Biomass,0.0
