hour,fuel,RD_tot
7681,NaturalGas,96.75686666738406
7681,Biomass,0.0
7681,HardCoal,78.01397553714129
7681,Lignite,0.0
7681,Oil(light),0.0
7681,Waste,0.0
7681,OtherFuels,0.0
7681,Nuclear,0.0
7681,Oil(heavy),0.0
7681,WindOnshore,0.0
7681,WindOffshore,0.0
7681,SolarPV,0.0
7681,RoR,0.0
7681,Geothermal,0.0
7681,Hydro,0.0
7681,LostLoad,0.0
7681,LoadShift,-349.8640426779771
7682,NaturalGas,91.0717363435526
7682,Biomass,0.0
7682,HardCoal,178.82514809051753
7682,Lignite,0.0
7682,Oil(light),0.0
7682,Waste,0.0
7682,OtherFuels,0.0
7682,Nuclear,0.0
7682,Oil(heavy),0.0
7682,WindOnshore,0.0
7682,WindOffshore,0.0
7682,SolarPV,0.0
7682,RoR,0.0
7682,Geothermal,0.0
7682,Hydro,0.0
7682,LostLoad,0.0
7682,LoadShift,-386.38049811817245
7683,NaturalGas,88.54042790075657
7683,Biomass,0.0
7683,HardCoal,238.34328499981092
7683,Lignite,0.0
7683,Oil(light),0.0
7683,Waste,0.0
7683,OtherFuels,0.0
7683,Nuclear,0.0
7683,Oil(heavy),0.0
7683,WindOnshore,0.0
7683,WindOffshore,0.0
7683,SolarPV,0.0
7683,RoR,0.0
7683,Geothermal,0.0
7683,Hydro,0.0
7683,LostLoad,0.0
7683,LoadShift,-386.38049811817245
7684,NaturalGas,94.41666235766624
7684,Biomass,0.0
7684,HardCoal,165.95119770706657
7684,Lignite,0.0
7684,Oil(light),0.0
7684,Waste,0.0
7684,OtherFuels,0.0
7684,Nuclear,0.0
7684,Oil(heavy),0.0
7684,WindOnshore,0.0
7684,WindOffshore,0.0
7684,SolarPV,0.0
7684,RoR,0.0
7684,Geothermal,0.0
7684,Hydro,0.0
7684,LostLoad,0.0
7684,LoadShift,-385.3944560734682
7685,NaturalGas,110.58500000000001
7685,Biomass,0.0
7685,HardCoal,62.373708471989644
7685,Lignite,0.0
7685,Oil(light),0.0
7685,Waste,0.0
7685,OtherFuels,0.0
7685,Nuclear,0.0
7685,Oil(heavy),0.0
7685,WindOnshore,0.0
7685,WindOffshore,0.0
7685,SolarPV,0.0
7685,RoR,0.0
7685,Geothermal,0.0
7685,Hydro,0.0
7685,LostLoad,1.6073324389722643
7685,LoadShift,-349.8640426779771
7686,NaturalGas,110.58500000000001
7686,Biomass,0.0
7686,HardCoal,34.425
7686,Lignite,0.0
7686,Oil(light),0.0
7686,Waste,0.0
7686,OtherFuels,0.0
7686,Nuclear,0.0
7686,Oil(heavy),0.0
7686,WindOnshore,0.0
7686,WindOffshore,0.0
7686,SolarPV,0.0
7686,RoR,0.0
7686,Geothermal,0.0
7686,Hydro,0.0
