hour,fuel,RD_up,RD_down,RD_net
7681,NaturalGas,109.52568077466412,0.0,109.52568077466412
7681,Biomass,0.0,0.0,0.0
7681,HardCoal,305.2884562151663,0.0,305.2884562151663
7681,Lignite,0.0,0.0,0.0
7681,Oil(light),0.0,0.0,0.0
7681,Waste,0.0,0.0,0.0
7681,OtherFuels,0.0,0.0,0.0
7681,Nuclear,0.0,-10.501346574855575,-10.501346574855575
7681,Oil(heavy),0.0,-0.0,0.0
7681,WindOnshore,0.0,0.0,0.0
7681,WindOffshore,0.0,-0.0,0.0
7681,SolarPV,0.0,0.0,0.0
7681,RoR,0.0,0.0,0.0
7681,Geothermal,0.0,-0.0,0.0
7681,Hydro,0.0,0.0,0.0
7682,NaturalGas,103.84055045083268,0.0,103.84055045083268
7682,Biomass,0.0,0.0,0.0
7682,HardCoal,515.8950174248995,0.0,515.8950174248995
7682,Lignite,0.0,0.0,0.0
7682,Oil(light),0.0,0.0,0.0
7682,Waste,0.0,0.0,0.0
7682,OtherFuels,0.0,0.0,0.0
7682,Nuclear,0.0,-18.632527666497367,-18.632527666497367
7682,Oil(heavy),0.0,-0.0,0.0
7682,WindOnshore,0.0,0.0,0.0
7682,WindOffshore,0.0,-0.0,0.0
7682,SolarPV,0.0,0.0,0.0
7682,RoR,0.0,0.0,0.0
7682,Geothermal,0.0,-0.0,0.0
7682,Hydro,0.0,0.0,0.0
7683,NaturalGas,101.30924200803665,0.0,101.30924200803665
7683,Biomass,0.0,0.0,0.0
7683,HardCoal,568.4985187774523,-29.945233102977475,538.5532856744749
7683,Lignite,0.0,0.0,0.0
7683,Oil(light),0.0,0.0,0.0
7683,Waste,0.0,0.0,0.0
7683,OtherFuels,0.0,0.0,0.0
7683,Nuclear,0.0,-18.70209334570916,-18.70209334570916
7683,Oil(heavy),0.0,-0.0,0.0
7683,WindOnshore,0.0,0.0,0.0
7683,WindOffshore,0.0,-0.0,0.0
7683,SolarPV,0.0,0.0,0.0
7683,RoR,0.0,0.0,0.0
7683,Geothermal,0.0,-0.0,0.0
7683,Hydro,0.0,0.0,0.0
7684,NaturalGas,107.1854764649463,0.0,107.1854764649463
7684,Biomass,0.0,0.0,0.0
7684,HardCoal,514.249803304304,0.0,514.249803304304
7684,Lignite,0.0,0.0,0.0
7684,Oil(light),0.0,0.0,0.0
7684,Waste,0.0,0.0,0.0
7684,OtherFuels,0.0,0.0,0.0
7684,Nuclear,0.0,-20.33255938506784,-20.33255938506784
7684,Oil(heavy),0.0,-0.0,0.0
7684,WindOnshore,0.0,0.0,0.0
7684,WindOffshore,0.0,-0.0,0.0
7684,SolarPV,0.0,0.0,0.0
7684,RoR,0.0,0.0,0.0
7684,Geothermal,0.0,-0.0,0.0
7684,Hydro,0.0,0.0,0.0
7685,NaturalGas,110.58500000000001,0.0,110.58500000000001
7685,Biomass,0.0,0.0,0.0
7685,HardCoal,274.329,0.0,274.329
7685,Lignite,0.0,0.0,0.0
7685,Oil(light),0.0,0.0,0.0
7685,Waste,0.0,0.0,0.0
7685,OtherFuels,0.0,0.0,0.0
7685,Nuclear,0.0,-9.33500301472634,-9.33500301472634
7685,Oil(heavy),0.0,-0.0,0.0
7685,WindOnshore,0.0,0.0,0.0
7685,WindOffshore,0.0,-0.0,0.0
7685,SolarPV,0.0,0.0,0.0
7685,RoR,0.0,0.0,0.0
7685,Geothermal,0.0,-0.0,0.0
7685,Hydro,0.0,0.0,0.0
7686,NaturalGas,110.58500000000001,0.0,110.58500000000001
7686,Biomass,0.0,0.0,0.0
7686,HardCoal,107.1,0.0,107.1
7686,Lignite,0.0,0.0,0.0
