hour,Total_RD_Cost
7681,879433.3838813391
7682,708520.2386955093
7683,588700.9096335595
7684,499614.6750572793
7685,554659.1309011289
7686,532434.9590819103
7687,637290.475654376
7688,762117.1342399479
7689,1.0454418902989071e6
7690,1.0530285029574286e6
7691,1.1416511291183226e6
7692,1.1563814200107022e6
7693,1.181252161967579e6
7694,1.0567428779301026e6
7695,1.0147829051319112e6
7696,935166.6966263934
7697,1.1429672018486527e6
7698,1.5489346991144305e6
7699,1.5634037345474577e6
7700,1.5229645816248318e6
7701,1.3503094108845424e6
7702,1.3509134967230896e6
7703,1.076352398044264e6
7704,1.002514293560686e6
7705,873516.646777738
7706,750663.2005979781
7707,646217.2865901778
7708,599024.3439231204
7709,558205.662707932
7710,419408.88304139685
7711,568528.6130420474
7712,644639.2374418856
7713,585873.5083301739
7714,633212.2985521063
7715,724250.8613718603
7716,813549.4780854989
7717,763178.1710350396
7718,681029.4640062848
7719,635993.1546767176
7720,796034.0866539914
7721,1.0609091286033934e6
7722,1.553805964753057e6
7723,1.6349011103172798e6
7724,1.680913692122742e6
7725,1.5197466719164178e6
7726,1.3257679222104491e6
7727,1.296581955295273e6
7728,1.0188497369410237e6
7729,1.1262686494809221e6
7730,913099.5632545643
7731,835140.4320958724
7732,794528.1378587952
7733,807480.518299368
7734,1.102466548514622e6
7735,1.823720883055799e6
7736,2.2456670913885524e6
7737,2.502496984292803e6
7738,2.3269519768374306e6
7739,2.4779584316797582e6
7740,2.3389977288722307e6
7741,2.453403630844548e6
7742,2.342862335590711e6
7743,2.1138402603932125e6
7744,2.2898044819151643e6
7745,2.3470417609447665e6
7746,2.5117307007130273e6
7747,2.611813571057001e6
7748,2.5707681776159573e6
7749,2.363010180156201e6
7750,2.1807325677453973e6
7751,1.8743489840415192e6
7752,1.637542926164369e6
7753,1.4243306302035635e6
7754,1.2255380541506547e6
7755,1.1449470844536682e6
7756,1.014533786136418e6
7757,1.1090567149124308e6
7758,1.403468390038585e6
7759,1.9940876720509303e6
7760,2.356635662097907e6
7761,2.6588736526777623e6
7762,2.5434608166197543e6
7763,2.7125357170314435e6
7764,2.613146788188531e6
7765,2.6194086070501436e6
7766,2.3250311772757047e6
7767,2.5146386047530477e6
7768,2.0711245448165664e6
7769,2.1578542216709773e6
7770,2.66335181843364e6
7771,2.6360564548414983e6
7772,2.571461391577128e6
7773,2.1244118498193156e6
7774,2.0127858671339366e6
7775,1.8390212055208902e6
7776,1.5535522912297372e6
7777,1.2597680693322406e6
7778,1.1503893314887672e6
7779,940400.0871918371
7780,826582.1390643981
7781,889099.6091230952
7782,1.1236394460032568e6
7783,1.5684496734365758e6
7784,1.950957479970775e6
7785,2.1358950502128447e6
7786,2.0559135780355996e6
7787,2.1267646326612057e6
7788,2.0303929797375842e6
7789,1.8988509273860988e6
7790,1.8550655923429625e6
7791,1.8669313238534946e6
7792,1.8978332397202954e6
7793,1.9795387895854441e6
7794,2.3708606767293024e6
7795,2.461985423538692e6
7796,2.470751299312493e6
7797,2.0787152855384818e6
7798,1.9810889653149222e6
7799,1.8008375451323865e6
7800,1.2285108269607932e6
7801,847866.1410782272
7802,908056.4308315889
7803,744492.2534704803
7804,623769.4522261672
7805,787429.1976375827
7806,964934.3107818104
7807,1.5850138669686543e6
7808,1.866494909514742e6
7809,2.0921730296582663e6
7810,1.933666421269354e6
7811,2.053293066852668e6
7812,1.9226368652382775e6
7813,1.760626099736891e6
7814,1.7397095044761398e6
7815,1.6601327474458357e6
7816,1.6994165341924771e6
7817,1.9445637167321846e6
7818,2.2547226656229366e6
7819,2.387129002414642e6
7820,2.206760425785995e6
7821,1.8277764609923612e6
7822,1.7815858100013947e6
7823,1.5014332066557347e6
7824,1.0973748926753025e6
7825,743897.007173728
7826,598708.6337047236
7827,521673.7708910597
7828,617560.3140728344
7829,566525.2185390503
7830,753897.420744013
7831,1.38210117361099e6
7832,1.7442687580585713e6
7833,1.8625357180567037e6
7834,1.8115817053585304e6
7835,1.9474376696320507e6
7836,1.8567345798568162e6
7837,1.7152223619489667e6
7838,1.7915063260495383e6
7839,1.631593997568991e6
7840,1.7134594893696117e6
7841,1.8308205559367011e6
7842,2.2616864227112387e6
7843,2.339197120386213e6
7844,2.132252939288703e6
7845,1.895705409036766e6
7846,1.5854021776287125e6
7847,1.3442654126137916e6
7848,1.075600724588079e6
7849,540790.6893912749
7850,462394.43547602976
7851,458326.0391419163
7852,467252.4613773952
7853,418480.07177205983
7854,393373.33170534205
7855,443471.71326811
7856,548423.7229450531
7857,737422.3278864826
7858,809915.5327508562
7859,876982.9656659424
7860,887875.6573949634
7861,827433.7372582828
7862,779881.0702430088
7863,665185.6789382098
7864,691821.0137658404
7865,837249.1754675123
7866,1.1158263450403027e6
7867,1.18163667361265e6
7868,1.1310488214205028e6
7869,875751.8170087322
7870,780781.3028016211
7871,729432.9108931983
7872,487037.6251118039
7873,535148.8811061699
7874,433683.1794066592
