hour,fuel,RD
7681,60.0,0.0
7681,70.0,2085.7615843790654
7681,100.0,490.6661953690215
7681,110.0,108.31885251419872
7681,130.0,52.65934686996503
7681,221.0,1624.374950591243
7681,50.0,0.0
7681,80.0,641.4655263410314
7681,90.0,0.0
7681,140.0,0.0
7681,150.0,0.0
7681,0.0,0.0
7681,30.0,0.0
7681,40.0,0.0
7681,120.0,0.0
7681,220.0,0.0
7681,SolarPV,0.0
7681,Wind,0.0
7681,LostLoad,140.5785924417402
7682,60.0,0.0
7682,70.0,2174.6384632866802
7682,100.0,429.9915617320034
7682,110.0,108.13015169120258
7682,130.0,52.65934686996503
7682,221.0,1528.6459716214426
7682,50.0,0.0
7682,80.0,522.8498561409456
7682,90.0,0.0
7682,140.0,0.0
7682,150.0,0.0
7682,0.0,0.0
7682,30.0,0.0
7682,40.0,0.0
7682,120.0,0.0
7682,220.0,0.0
7682,SolarPV,0.0
7682,Wind,0.0
7682,LostLoad,7.537118216698557
7683,60.0,0.0
7683,70.0,2194.7585948957235
7683,100.0,353.83026091477416
7683,110.0,108.13015169120258
7683,130.0,52.65934686996503
7683,221.0,1381.042040458374
7683,50.0,0.0
7683,80.0,451.0965284984909
7683,90.0,0.0
7683,140.0,0.0
7683,150.0,0.0
7683,0.0,0.0
7683,30.0,0.0
7683,40.0,0.0
7683,120.0,0.0
7683,220.0,0.0
7683,SolarPV,0.0
7683,Wind,0.0
7683,LostLoad,0.0
7684,60.0,0.0
7684,70.0,1353.284641798681
7684,100.0,319.86806754152747
7684,110.0,107.89144971419243
7684,130.0,51.282601922995944
7684,221.0,1339.6998197268276
7684,50.0,0.0
7684,80.0,422.0278655072409
7684,90.0,0.0
7684,140.0,0.0
7684,150.0,0.0
7684,0.0,0.0
7684,30.0,0.0
7684,40.0,0.0
7684,120.0,0.0
7684,220.0,0.0
7684,SolarPV,0.0
7684,Wind,0.0
7684,LostLoad,0.0
7685,60.0,0.0
7685,70.0,1921.940292163479
7685,100.0,266.2469400460141
7685,110.0,106.8825353698771
7685,130.0,45.46355617038526
7685,221.0,1316.8178268399379
7685,50.0,0.0
7685,80.0,414.7054013331033
7685,90.0,0.0
7685,140.0,0.0
7685,150.0,0.0
7685,0.0,0.0
7685,30.0,0.0
7685,40.0,0.0
7685,120.0,0.0
7685,220.0,0.0
7685,SolarPV,0.0
7685,Wind,0.0
7685,LostLoad,0.0
7686,60.0,0.0
7686,70.0,1541.4026443972725
7686,100.0,346.9341140487645
7686,110.0,108.13015169120258
7686,130.0,52.65934686996503
7686,221.0,1316.0944030388982
7686,50.0,0.0
7686,80.0,422.04547789430967
7686,90.0,0.0
7686,140.0,0.0
7686,150.0,0.0
7686,0.0,0.0
7686,30.0,0.0
7686,40.0,0.0
7686,120.0,0.0
7686,220.0,0.0
7686,SolarPV,0.0
7686,Wind,0.0
7686,LostLoad,0.0
7687,60.0,0.0
7687,70.0,2374.8128834517925
7687,100.0,432.66399945538734
7687,110.0,109.13906603551791
7687,130.0,55.25140974076058
7687,221.0,1439.2008972367275
7687,50.0,0.0
7687,80.0,481.51242967387907
7687,90.0,0.0
7687,140.0,0.0
7687,150.0,0.0
7687,0.0,0.0
7687,30.0,0.0
7687,40.0,0.0
7687,120.0,0.0
7687,220.0,0.0
7687,SolarPV,0.0
7687,Wind,0.0
7687,LostLoad,0.0
7688,60.0,0.0
7688,70.0,2115.362312549977
7688,100.0,666.4862048189319
7688,110.0,109.13906603551791
7688,130.0,52.65934686996503
7688,221.0,1579.5391290102816
7688,50.0,0.0
7688,80.0,626.0786014451671
7688,90.0,0.0
7688,140.0,0.0
7688,150.0,0.0
7688,0.0,0.0
7688,30.0,0.0
7688,40.0,0.0
7688,120.0,0.0
7688,220.0,0.0
7688,SolarPV,0.0
7688,Wind,0.0
7688,LostLoad,112.65871926343874
7689,60.0,0.0
7689,70.0,2623.8996545591867
7689,100.0,739.6702393608971
7689,110.0,111.63124503795618
7689,130.0,72.85236175146693
7689,221.0,1796.0656985988498
7689,50.0,0.0
7689,80.0,776.8777030782505
7689,90.0,0.0
7689,140.0,0.0
7689,150.0,0.0
7689,0.0,0.0
7689,30.0,0.0
7689,40.0,0.0
7689,120.0,0.0
7689,220.0,0.0
7689,SolarPV,0.0
7689,Wind,0.0
7689,LostLoad,269.67860698255896
7690,60.0,0.0
7690,70.0,905.3574704532472
7690,100.0,700.9781155907019
7690,110.0,111.81994586095232
7690,130.0,68.12167273474445
7690,221.0,1909.7217175386916
7690,50.0,0.0
7690,80.0,830.0
7690,90.0,0.0
7690,140.0,0.0
7690,150.0,0.0
7690,0.0,0.0
7690,30.0,0.0
7690,40.0,0.0
7690,120.0,0.0
7690,220.0,0.0
7690,SolarPV,0.0
7690,Wind,0.0
7690,LostLoad,380.50934456536623
7691,60.0,0.0
7691,70.0,1529.1214695525116
7691,100.0,880.8511274692669
7691,110.0,111.81994586095232
7691,130.0,68.12167273474445
7691,221.0,1961.6886602455586
7691,50.0,0.0
7691,80.0,830.0
7691,90.0,0.0
7691,140.0,0.0
7691,150.0,0.0
7691,0.0,0.0
7691,30.0,0.0
7691,40.0,0.0
7691,120.0,0.0
7691,220.0,0.0
7691,SolarPV,0.0
7691,Wind,0.0
7691,LostLoad,417.93540900871193
7692,60.0,0.0
7692,70.0,1473.9283899103468
7692,100.0,717.8158386071696
7692,110.0,111.81994586095232
7692,130.0,68.12167273474445
7692,221.0,1919.159733717079
7692,50.0,0.0
7692,80.0,830.0
7692,90.0,0.0
7692,140.0,0.0
7692,150.0,0.0
7692,0.0,0.0
7692,30.0,0.0
7692,40.0,0.0
7692,120.0,0.0
7692,220.0,0.0
7692,SolarPV,0.0
7692,Wind,0.0
7692,LostLoad,453.74548031383677
7693,60.0,0.0
7693,70.0,1556.5255467044997
7693,100.0,633.2678200064729
7693,110.0,110.81103151663699
7693,130.0,67.03331599885625
7693,221.0,1841.3379008815186
7693,50.0,0.0
7693,80.0,830.0
7693,90.0,0.0
7693,140.0,0.0
7693,150.0,0.0
7693,0.0,0.0
7693,30.0,0.0
7693,40.0,0.0
7693,120.0,0.0
7693,220.0,0.0
7693,SolarPV,0.0
7693,Wind,0.0
7693,LostLoad,407.8863338753622
7694,60.0,0.0
7694,70.0,1347.7220044662793
7694,100.0,539.7956512675726
7694,110.0,110.81103151663699
7694,130.0,67.03331599885625
7694,221.0,1747.7478275811945
