node,longitude,latitude,node_name,country,RDcost
0,"9,52257597","52,36040906",Hannover/West,DE,70.83246981692878
1,"9,389745096","52,02631307",UW Grohnde 380 kV / 110 kV,DE,3786.952408839704
2,"10,36627494","52,28464675",Wahle,DE,102.30147290617694
3,"9,91717972","52,27816861",Algermissen,DE,384.4803560940467
4,"10,41499234","53,41260688",Krümmel,DE,561718.772533617
5,"12,9416466","52,5621144",Wustermark,DE,611.2699526228108
6,"13,20610299","52,65713628",Hennigsdorf,DE,469.1199220533793
7,"11,37042625","48,29149223",Umspannwerk Oberbachern,DE,49158.2746918793
8,"10,76104038","52,36772938",Umspannwerk Hattorf,DE,916.2047563373034
9,"13,49476337","52,58976444",Umspannwerk Malchow,DE,876.2283672341313
10,"11,8132329","48,22126647",Umspannwerk Neufinsing,DE,26580.50546918568
11,"9,98460982","53,74112878",Umspannwerk Hamburg-Nord,DE,28677.22600339596
12,"9,988536609","53,76627767",Hamburg Nord,DE,3.323064817825637e6
13,"9,344760988","53,92183706",Umspannwerk Wilster,DE,3.7760959619391974
14,"9,776544839","53,69063526",Kummerfeld,DE,2.555458639203559e8
15,"10,37877059","53,21979277",Lüneburg,DE,39101.23569077811
16,"9,501789668","53,54281437",Dollern,DE,5.007347460028053
17,"9,746150816","50,91683995",Mecklar,DE,268.910837931705
18,"11,12285456","50,99890907",Umspannwerk Vieselbach,DE,491.9581479714658
19,"8,122642303","53,56051605",Umspannwerk Maade,DE,32990.68568067314
20,"9,113210075","52,54385332",Umspannwerk Kraftwerk Robert Frank,DE,3.990257825999916
21,"11,63891276","52,26873468",Umspannwerk Wolmirstedt,DE,21118.745374370345
22,"11,72735342","52,56894699",Stendal/West,DE,5.525919727382848e6
23,"12,18698482","53,81577517",Güstrow,DE,28699.6257594631
24,"13,68347697","54,13909064",Umspannwerk Lubmin,DE,132.7028542258446
25,"13,50615345","52,47382231",Umspannwerk Wuhlheide,DE,1705.3014951520686
26,"13,52419873","52,53563427",Umspannwerk Marzahn,DE,0.0
27,"13,45643069","52,52145175",Umspannwerk Friedrichshain,DE,106525.36614973468
28,"10,99933301","52,20014197",Umspannwerk Helmstedt,DE,19919.272549065085
29,"8,313340166","49,00904346",Karlsruhe-Daxlanden,DE,1.2900049277034097e6
30,"8,445542489","48,98608818",Umspannwerk Oberwald,DE,1633.216505323087
31,"8,641584063","48,89005248",220 kV-Umspannwerk Birkenfeld,DE,137599.92405484724
32,"8,563743997","53,03172158",Ganderkesee,DE,282.3648077371249
33,"8,51888181","53,20263528",Umspannwerk Farge,DE,75415.68694239215
34,"8,120769098","48,70483543",Bühl,DE,7188.806854877714
35,"8,77244296","49,97466867",Umspannwerk Urberach,DE,227095.8149906432
36,"8,388556368","49,98230508",Umspannstation Bischofsheim,DE,4.1644058606511345e6
37,"12,26217349","51,74102028",Umspannwerk Marke,DE,4497.970231745484
38,"13,15709049","51,82845166",Umspannwerk Schönewalde,DE,136.06921876622653
39,"11,89426614","51,40570314",Umspannwerk Lauchstädt,DE,14697.901018979965
40,"8,702218449","51,73635258",Umspannwerk Elsen,DE,34.32338641238703
41,"8,992792404","51,3430094",Umspannwerk Twistetal,DE,7274.066799883921
42,"13,30575329","52,23078185",Thyrow,DE,4771.738519192596
43,"11,64637863","50,53487697",Umspannwerk Remptendorf,DE,58728.934286536685
44,"14,47196547","51,55381272",Graustein,DE,81318.78873967963
45,"14,42818049","51,88886414",Umspannwerk Preilack,DE,17180.31416322526
46,"10,15628246","54,27554825",Kiel-Süd,DE,31564.15539654172
47,"7,034967965","52,20286074",Station Gronau,DE,192.59088263857834
