id,BAU,DSOM,TSOM
1,84479.04410919541,83847.3569245021,84121.13275010778
2,84439.43629882816,83821.15478573422,84101.18493816875
3,84257.32540855171,83607.58915709327,84092.9796896623
4,84181.93647139524,83569.1081699747,84066.7546245726
5,83947.7238124028,83385.83544443706,84045.04498309361
6,83797.95984570456,83378.6189965749,83883.4637793195
7,83731.82690386924,83348.39025147655,83639.61084491202
8,83502.68378295028,83088.59975378434,83525.05040860825
9,83416.43622230749,82754.65611056484,83350.75600790026
10,83415.94562184873,82745.98247064879,83299.29271329819
11,83353.50853680247,82697.0486611381,83244.37178255545
12,83344.64502184828,82607.03273025743,83238.55782041825
13,83343.3040472611,82598.83635750323,83163.3864322724
14,83215.5516878107,82586.80817670013,83124.36819497337
15,83201.55322138857,82569.31460893685,83091.9990062146
16,83176.00929083794,82560.65243503462,83042.23809192299
17,83156.41797918646,82552.31354663394,83020.58985108066
18,83096.00870936953,82523.35999744496,83015.75179304376
19,83076.58093120425,82481.92431406747,83005.13659180817
20,82994.25817423123,82467.60773290558,82983.31029085592
21,82961.7477171668,82411.0835033162,82962.3519549186
22,82946.40827615751,82407.78688628721,82928.61606439273
23,82944.02068725841,82331.1515275675,82920.66082391168
24,82918.90194377198,82321.14604837101,82870.09906694645
25,82912.09895074443,82311.01869861054,82746.6653780579
26,82900.16100624896,82301.55821431095,82741.78819122183
27,82885.34487239564,82224.64119710514,82697.53709145276
28,82848.48442459722,82197.66224879632,82690.62488266705
29,82835.53257248703,82178.24899633462,82677.89100528923
30,82812.53976432173,82158.05216793188,82673.9309361398
31,82781.8935890004,82131.71595139765,82614.36786006863
32,82753.50417578925,82126.5462888895,82585.28122116116
33,82727.73129835786,82068.60112929702,82555.97627828586
34,82714.19072569723,82064.22686946673,82496.08586338755
35,82699.83248560538,82038.11092154839,82469.49552158774
36,82687.99266120163,82030.65342754379,82460.71776693371
37,82677.72275826578,82021.64939926122,82444.56906568557
38,82676.18554349511,82020.65486159247,82442.04510546016
39,82633.24165000864,82009.32284719935,82411.16392650406
40,82606.6838118433,81985.14882494585,82395.32142193058
41,82570.34667120085,81975.6448360101,82366.5217452714
42,82558.93203386132,81932.88924773202,82351.72064837956
43,82551.4749068888,81916.34199748619,82351.68386535544
44,82525.08060220971,81912.03653642566,82347.28438697294
45,82501.89155386093,81898.44449416359,82327.67674322508
46,82496.10246844804,81885.27631209104,82302.44403441089
47,82399.68312496113,81801.34812809841,82231.06295562208
48,82398.89816422723,81780.16500622637,82202.7517187901
49,82382.97000266745,81742.47195114977,82121.43679330147
50,82377.37715743807,81738.43952908817,82119.82061014765
51,82318.5051023918,81720.85144290935,82095.84906284275
52,82310.42654817156,81708.07805169403,82021.4182221354
53,82289.75591551088,81680.46708290237,82016.5962257487
54,82260.81048844643,81652.95954850804,81967.92259321106
55,82234.54701055636,81625.54247004465,81967.20846072258
56,82201.77489991393,81598.99211923839,81967.11067027911
57,82196.0839345928,81560.84142655738,81964.34426565246
58,82191.73394385882,81558.88349883877,81907.94726481367
59,82189.47718174872,81554.32252317069,81905.96243017077
60,82186.4681656019,81545.62394903996,81901.06642418842
61,82155.36409651913,81544.71142088204,81893.87727413845
62,82145.3885538585,81506.81616783395,81885.79995996406
63,82135.2167710144,81499.0751989065,81870.36611426139
64,82110.81757486747,81494.00915225744,81839.49580071076
65,82099.27211073892,81493.73091734928,81834.29638900388
66,82088.11912697738,81469.41353403713,81830.87155136673
67,82084.8484572526,81453.27151141137,81824.50263028187
68,82084.65221706909,81448.23519875277,81814.33321558831
69,82045.56771385786,81435.46005744193,81813.09986196487
70,82040.40005569266,81422.45089345096,81803.42511597801
71,82030.13015275681,81407.0381458236,81791.62276370537
72,82029.21436523387,81394.2079903629,81761.61448488754
73,81972.76260578392,81389.67240964096,81758.2066461541
74,81969.16486908667,81377.37377400778,81745.48157841271
75,81959.67992688478,81369.88483152504,81736.98833147399
76,81956.93256431597,81362.24215107095,81727.45148122298
77,81942.9013911966,81345.82073234142,81715.0966338631
78,81915.95107266429,81291.09285974523,81665.3959868594
79,81886.1225647742,81280.92890037915,81663.75809481446
80,81853.0560938565,81194.63084668068,81663.44933496174
81,81816.13023266362,81188.87914341917,81652.30224236572
82,81810.07949367276,81185.73566259681,81648.1911381198
83,81808.14979853515,81184.9443340066,81645.85365613895
84,81802.03364614978,81174.60200612263,81632.91252458832
85,81769.2942422046,81156.81677600626,81627.56050580194
86,81722.19659816756,81140.38242628267,81624.49553477058
87,81719.12216862626,81080.9478468182,81616.2028451506
88,81685.07449679117,81071.28564160193,81563.46715440945
89,81677.06135596542,81059.12689778906,81550.12335813591
90,81652.465919635,81046.00273907282,81549.33624493844
91,81648.63923605699,81026.12394531802,81542.498204954
92,81641.83624302942,81007.94353472479,81531.5784691689
93,81626.69304220362,80995.41419339334,81486.32879849356
94,81610.66676055215,80981.58779661801,81473.43161522901
95,81609.26037257047,80978.39177424618,81473.14137680693
96,81607.59233101085,80977.08482307651,81447.42886783011
97,81573.57736587302,80970.54683595357,81437.1514780071
98,81572.04015110235,80969.16552349646,81427.29423718611
99,81567.7228670656,80961.3057070168,81420.74022137206
100,81567.46121348764,80957.35963743497,81419.42513201722
101,81561.60671468024,80955.73134263438,81396.74153059222
102,81551.66387871685,80952.68010256888,81395.34017104829
103,81550.19207734073,80942.18227586146,81380.06979830601
104,81547.93531523061,80918.28506093,81376.26747527355
105,81542.34247000123,80883.32021082588,81370.41032117454
