hour,Total_RD_Cost
7681,855684.4401241732
7682,696076.6435422543
7683,581507.2279551035
7684,538174.3930769438
7685,591958.8157277111
7686,566410.9629504008
7687,625031.5754303867
7688,691040.0869593343
7689,1.055865165982299e6
7690,851748.6845404623
7691,912957.6956936601
7692,1.0279660587277678e6
7693,1.2425085813968158e6
7694,874129.6466610918
7695,1.0797823284620668e6
7696,946432.0798649606
7697,1.0394262102624552e6
7698,1.468741997636679e6
7699,1.498506088077285e6
7700,1.4080651521112127e6
7701,1.375482418588723e6
7702,1.3912431415297512e6
7703,1.0660579922029572e6
7704,994353.7989796607
7705,870266.4540317246
7706,746986.7763735191
7707,688124.6441799126
7708,628115.1968638927
7709,603140.5381228677
7710,461810.1712386468
7711,612295.0637259575
7712,670713.2055420127
7713,629716.1590635091
7714,598055.6789943648
7715,801432.455024639
7716,677194.9980322311
7717,623578.2929289283
7718,640012.2181764708
7719,578994.5212751502
7720,764615.6498817006
7721,1.0385222432779685e6
7722,1.4321295197967843e6
7723,1.5145743117065702e6
7724,1.545592776412331e6
7725,1.462728620194266e6
7726,1.2407445330657922e6
7727,1.1946474757137934e6
7728,922508.9127910568
7729,1.1689313276978512e6
7730,952685.0715115106
7731,901178.8275905425
7732,869670.9269491453
7733,907537.2528025584
7734,1.1054700180199787e6
7735,1.8210274663509827e6
7736,2.225179654964042e6
7737,2.3110805534686055e6
7738,2.3860452771744886e6
7739,2.1883173107517785e6
7740,2.492737508229639e6
7741,2.3981032477383483e6
7742,2.1440046781506487e6
7743,1.9135179500668193e6
7744,2.4222557505709426e6
7745,2.282210182911876e6
7746,2.4098991981178317e6
7747,2.495639642651766e6
7748,2.438714210948785e6
7749,2.3044876661007935e6
7750,2.1478308779353625e6
7751,1.8725472658600167e6
7752,1.6538901530274672e6
7753,1.4685430425137663e6
7754,1.1650415585558543e6
7755,1.2864487188910425e6
7756,990053.8212002288
7757,1.2598823432460674e6
7758,1.4269047365972945e6
7759,1.974903655353022e6
7760,2.408202346894712e6
7761,2.445218872154428e6
7762,2.5944176203368213e6
7763,2.3865114716460584e6
7764,2.7071160468562483e6
7765,2.6159211755859093e6
7766,2.230631406591537e6
7767,2.380901906227524e6
7768,2.2107633780870363e6
7769,2.0713671339313462e6
7770,2.6604632777672336e6
7771,2.517676484231962e6
7772,2.441448515685783e6
7773,2.0543106613572892e6
7774,1.9723369811638442e6
7775,1.8570930598240437e6
7776,1.5600307367033497e6
7777,1.2698696657525594e6
7778,1.0846208426853318e6
7779,874467.2640411648
7780,853141.3646484419
7781,907877.8154301925
7782,1.168943387965501e6
7783,1.6691309350419375e6
7784,1.9019548361046263e6
7785,1.9600535187920216e6
7786,1.9599642194813795e6
7787,2.207285930170584e6
7788,2.14429921908787e6
7789,2.0325787525901427e6
7790,1.7560270766964068e6
7791,1.6969985808184948e6
7792,1.9367500728932905e6
7793,1.9980957545329134e6
7794,2.167085718249904e6
7795,2.4149544427136993e6
7796,2.3361011347697433e6
7797,1.913420483817019e6
7798,1.9432914790015854e6
7799,1.8679444490792793e6
7800,1.1279716012193903e6
7801,871135.6160779806
7802,1.0216660313585143e6
7803,824530.4120888971
7804,665812.5329853669
7805,769314.120603432
7806,990442.4469276086
7807,1.6612345777376338e6
7808,1.782034121881e6
7809,1.7518349990355733e6
7810,1.7814425715858554e6
7811,1.871026315170811e6
7812,2.0218028399530952e6
7813,1.6424657229036447e6
7814,1.7525500600968401e6
7815,1.7806325922478144e6
7816,1.846507268120694e6
7817,1.8867137216353135e6
7818,2.143289142786021e6
7819,2.1990607876839205e6
7820,2.0901726747331165e6
7821,1.8625194626005727e6
7822,1.7476268972322114e6
7823,1.3814378975561399e6
7824,1.0512928815617892e6
7825,764126.3454662102
7826,631275.4803216846
7827,590817.1656970576
7828,547968.9114307448
7829,597450.8905923548
7830,734215.0410125796
7831,1.3918254220177326e6
7832,1.6136806711946763e6
7833,1.7624814481538825e6
7834,1.794270252501157e6
7835,1.8983842828371e6
7836,1.7689146388234033e6
